iter,Gaussian,t(nu=4)
790,0.002505,0.002399
791,0.002505,0.002399
792,0.002506,0.002399
793,0.002506,0.002400
794,0.002506,0.002400
795,0.002507,0.002400
796,0.002507,0.002400
797,0.002508,0.002400
798,0.002508,0.002401
799,0.002508,0.002401
800,0.002509,0.002401
801,0.002509,0.002401
802,0.002510,0.002401
803,0.002510,0.002402
804,0.002510,0.002402
805,0.002511,0.002402
806,0.002511,0.002402
807,0.002512,0.002402
808,0.002512,0.002403
809,0.002512,0.002403
810,0.002513,0.002403
811,0.002513,0.002403
812,0.002514,0.002403
813,0.002514,0.002404
814,0.002515,0.002404
815,0.002515,0.002404
816,0.002515,0.002404
817,0.002516,0.002404
818,0.002516,0.002405
819,0.002517,0.002405
820,0.002517,0.002405
821,0.002517,0.002405
822,0.002518,0.002405
823,0.002518,0.002406
824,0.002519,0.002406
825,0.002519,0.002406
826,0.002519,0.002406
827,0.002520,0.002406
828,0.002520,0.002407
829,0.002521,0.002407
830,0.002521,0.002407
831,0.002521,0.002407
832,0.002522,0.002407
833,0.002522,0.002408
834,0.002523,0.002408
835,0.002523,0.002408
836,0.002523,0.002408
837,0.002524,0.002409
838,0.002524,0.002409
839,0.002525,0.002409
840,0.002525,0.002409
841,0.002525,0.002409
842,0.002526,0.002410
843,0.002526,0.002410
844,0.002527,0.002410
845,0.002527,0.002410
846,0.002528,0.002410
847,0.002528,0.002411
848,0.002528,0.002411
849,0.002529,0.002411
850,0.002529,0.002411
851,0.002530,0.002411
852,0.002530,0.002412
853,0.002530,0.002412
854,0.002531,0.002412
855,0.002531,0.002412
856,0.002532,0.002412
857,0.002532,0.002413
858,0.002532,0.002413
859,0.002533,0.002413
860,0.002533,0.002413
861,0.002534,0.002413
862,0.002534,0.002414
863,0.002534,0.002414
864,0.002535,0.002414
865,0.002535,0.002414
866,0.002536,0.002414
867,0.002536,0.002415
868,0.002536,0.002415
869,0.002537,0.002415
870,0.002537,0.002415
871,0.002538,0.002415
872,0.002538,0.002416
873,0.002538,0.002416
874,0.002539,0.002416
875,0.002539,0.002416
876,0.002540,0.002416
877,0.002540,0.002417
878,0.002540,0.002417
879,0.002541,0.002417
880,0.002541,0.002417
881,0.002542,0.002417
882,0.002542,0.002418
883,0.002542,0.002418
884,0.002543,0.002418
885,0.002543,0.002418
886,0.002544,0.002418
887,0.002544,0.002419
888,0.002545,0.002419
889,0.002545,0.002419
890,0.002545,0.002419
891,0.002546,0.002420
892,0.002546,0.002420
893,0.002547,0.002420
894,0.002547,0.002420
895,0.002547,0.002420
896,0.002548,0.002421
897,0.002548,0.002421
898,0.002549,0.002421
899,0.002549,0.002421
900,0.002549,0.002421
901,0.002550,0.002422
902,0.002550,0.002422
903,0.002551,0.002422
904,0.002551,0.002422
905,0.002551,0.002422
906,0.002552,0.002423
907,0.002552,0.002423
908,0.002553,0.002423
909,0.002553,0.002423
910,0.002553,0.002423
911,0.002554,0.002424
912,0.002554,0.002424
913,0.002555,0.002424
914,0.002555,0.002424
915,0.002555,0.002424
916,0.002556,0.002425
917,0.002556,0.002425
918,0.002557,0.002425
919,0.002557,0.002425
920,0.002557,0.002425
921,0.002558,0.002426
922,0.002558,0.002426
923,0.002559,0.002426
924,0.002559,0.002426
925,0.002559,0.002426
926,0.002560,0.002427
927,0.002560,0.002427
928,0.002561,0.002427
929,0.002561,0.002427
930,0.002561,0.002428
931,0.002562,0.002428
932,0.002562,0.002428
933,0.002563,0.002428
934,0.002563,0.002428
935,0.002563,0.002429
936,0.002564,0.002429
937,0.002564,0.002429
938,0.002565,0.002429
939,0.002565,0.002429
940,0.002565,0.002430
941,0.002566,0.002430
942,0.002566,0.002430
943,0.002567,0.002430
944,0.002567,0.002430
945,0.002567,0.002431
946,0.002568,0.002431
947,0.002568,0.002431
948,0.002569,0.002431
949,0.002569,0.002431
950,0.002569,0.002432
951,0.002570,0.002432
952,0.002570,0.002432
953,0.002571,0.002432
954,0.002571,0.002432
955,0.002571,0.002433
956,0.002572,0.002433
957,0.002572,0.002433
958,0.002573,0.002433
959,0.002573,0.002433
960,0.002573,0.002434
961,0.002574,0.002434
962,0.002574,0.002434
963,0.002575,0.002434
964,0.002575,0.002435
965,0.002575,0.002435
966,0.002576,0.002435
967,0.002576,0.002435
968,0.002577,0.002435
969,0.002577,0.002436
970,0.002577,0.002436
971,0.002578,0.002436
972,0.002578,0.002436
973,0.002579,0.002436
974,0.002579,0.002437
975,0.002579,0.002437
976,0.002580,0.002437
977,0.002580,0.002437
978,0.002581,0.002437
979,0.002581,0.002438
980,0.002581,0.002438
981,0.002582,0.002438
982,0.002582,0.002438
983,0.002583,0.002438
984,0.002583,0.002439
985,0.002583,0.002439
986,0.002584,0.002439
987,0.002584,0.002439
988,0.002585,0.002439
989,0.002585,0.002440
990,0.002585,0.002440
991,0.002586,0.002440
992,0.002586,0.002440
993,0.002587,0.002440
994,0.002587,0.002441
995,0.002587,0.002441
996,0.002588,0.002441
997,0.002588,0.002441
998,0.002589,0.002441
999,0.002589,0.002442
1000,0.002589,0.002442
1001,0.002590,0.002442
1002,0.002590,0.002442
1003,0.002591,0.002443
1004,0.002591,0.002443
1005,0.002591,0.002443
1006,0.002592,0.002443
1007,0.002592,0.002443
1008,0.002593,0.002444
1009,0.002593,0.002444
1010,0.002593,0.002444
1011,0.002594,0.002444
1012,0.002594,0.002444
1013,0.002595,0.002445
1014,0.002595,0.002445
1015,0.002595,0.002445
1016,0.002596,0.002445
1017,0.002596,0.002445
1018,0.002597,0.002446
1019,0.002597,0.002446
1020,0.002597,0.002446
1021,0.002598,0.002446
1022,0.002598,0.002446
1023,0.002599,0.002447
1024,0.002599,0.002447
1025,0.002599,0.002447
